"akb021";"use_amt";"amt";"bili";"use_cnt"
"上海市浦东新区上钢社区卫生服务中心";2527.77;393.93;0.15584091907095977878;2
"上海市静安区北站医院";151522.32;125108.64;0.82567795952437898258;5
"上海海华医院";3004.33;761.82;0.25357400818152466607;3
"中南大学湘雅二医院";318712.61;150524.43;0.47228890629711827216;10
"义乌稠州医院";4757131.91;2615127.65;0.54972779806730227920;4419
"仙居南峰仁济堂中医门诊部";1589811.50;0.00;0.000000000000000000000000;1424
"余姚百草中医门诊部";2073140.65;1208971.43;0.58315938670152456853;2845
"南京建邺区南苑社区卫生服务中心";5877.57;2288.88;0.38942624247775866557;2
"厦门大学附属第一医院";50059.16;28589.43;0.57111285926491774932;4
"台州市椒江于氏中医门诊部";645.31;0.00;0.00000000000000000000;1
"台州市椒江安心大药房(普通合伙)";115.80;0.00;0.00000000000000000000;2
"台州市黄岩新特药店";274.00;0.00;0.00000000000000000000;2
"同济大学附属口腔医院";25533.38;4323.11;0.16931209264108394580;28
"嘉兴市秀洲区雪林口腔门诊部";85.00;0.00;0.00000000000000000000;1
"嘉善县魏塘街道西门社区卫生服务站";1469595.39;286323.49;0.19483151073303244371;2450
"四平市中心人民医院";9991.28;4594.50;0.45985099006333522832;1
"天津市第四中心医院";4836.92;42.84;0.00885687586315258470;4
"威远县人民医院";2301.20;1254.86;0.54530679645402398748;1
"宁波亚洲浆纸业有限公司";2028.20;0.00;0.00000000000000000000;50
"宁波市北仑区大碶镇卫生院";3805976.43;1466534.89;0.38532421757535687104;15121
"宁波市大榭开发区医院";1744176.67;665870.47;0.38176778846606175509;5578
"宁波市第六医院";8172980.90;4172378.66;0.51050879857066593659;7787
"宁波市鄞州区口腔医院";2868751.00;53308.31;0.01858241095166502774;3459
"宁波市鄞州区首南医院";1134722.06;542987.75;0.47852048456694320370;4658
"嵊州市甘霖人民医院";8087.59;3226.63;0.39896062980442876061;21
"嵊州市谷来镇卫生院";653.77;6622.46;10.1296480413601114;98
"嵊州市金庭镇卫生院";829.54;1264.18;1.5239530342117318;21
"市闽东医院";29864.35;23099.00;0.77346401311262424931;1
"平阳县鳌江新民药店";113894.00;18715.49;0.16432375717772665812;186
"建德德生医院";98505.68;59217.70;0.60116025796685023645;191
"惠东县人民医院";795.00;360.39;0.45332075471698113208;1
"新昌县七星街道时珍药房";3823.00;1093.20;0.28595343970703635888;14
"杭州国弘大药房有限公司";36.00;0.00;0.00000000000000000000;1
"杭州市上城区妇幼保健计划生育服务中心";167633.74;43011.75;0.25658170008018672136;529
"杭州市中医院";1604139989.45;816770657.87;0.50916420215298062059;291050
"杭州市余杭区仁和街道社区卫生服务中心普宁村社区卫生服务站";34.39;0.00;0.00000000000000000000;1
"杭州市江干区丁桥镇社区卫生服务中心";365.68;0.00;0.00000000000000000000;2
"杭州市第四人民医院";3349.99;582.30;0.17382141439228176801;1
"杭州扶阳堂健康管理咨询有限公司月明路中医诊所";2267663.45;1293397.22;0.57036559812259619037;1430
"杭州时珍阁大药房有限公司";43.30;0.00;0.00000000000000000000;1
"杭州民乐大药房有限公司";2.00;0.00;0.00000000000000000000;1
"杭州知和中医门诊部";2072.36;1374.24;0.66312802794881198247;3
"杭州静远中西医结合门诊部";45093479.80;38292645.12;0.84918363563505693344;5764
"椒江李光诊所(台州市椒江李光诊所)";2213.80;0.00;0.00000000000000000000;5
"椒江绿康老年康复护理院枫叶情院区(台州市椒江绿康老年康复护理院有限公司海门分公司)";7881.15;6985.91;0.88640744053850009199;1
"泰顺县彭溪镇中心卫生院";504.56;163.46;0.32396543523069605201;4
"浙江康复医院";48514.98;39193.46;0.80786305590561925409;1
"浙江省农业科学院卫生所";1894341.50;1295872.22;0.68407529476601763726;942
"温州医学院附属眼视光医院";46057.35;18783.82;0.40783544863089170350;10
"温州叶同仁医药连锁有限公司滨江大药房";27406.86;6761.54;0.24670976536531364775;17
"温州市裕和堂药品有限公司";334.50;175.94;0.52597907324364723468;2
"温州方弘药品零售有限公司";1020.50;0.00;0.00000000000000000000;3
"灵溪镇渎浦社区卫生服务站";16222.48;3323.68;0.20488112791632352143;114
"瑞安友谊中西医结合医院";37389.74;8263.85;0.22101918868652202449;108
"瑞安市同济药品零售有限公司";783.30;0.00;0.00000000000000000000;5
"秀洲区洪合镇卫生院";686.83;146.21;0.21287654878208581454;2
"绍兴华通医药连锁有限公司康宁医药店";9107.50;2759.83;0.30302827340104309635;36
"绍兴市上虞区下管中心卫生院";427869.35;207929.82;0.48596568087898794340;874
"绍兴市上虞区曹娥街道蒿坝社区卫生服务站";139441.42;67914.33;0.48704559950694707498;296
"绍兴市济世春大药房有限公司";65.00;0.00;0.00000000000000000000;1
"苍南县第三人民医院";1955748.20;1199038.31;0.61308419458087702701;556
"萧山区河庄街道同一社区卫生服务站";261.20;0.00;0.00000000000000000000;1
"诸暨市暨阳街道浣北社区卫生服务站";;50.97;;3
"陕西省核工业二一五医院";62951.10;42586.48;0.67650096662329967229;1
"青岛慧康医院";2849.34;822.54;0.28867737791909705405;1
"青岛经济技术开发区第一人民医院";14164.34;8825.36;0.62306891814232078586;2
"高楼大京卫生院";15279.36;2625.41;0.17182722312976459747;42
"鹿城区藤桥中心卫生院";104535.25;11504.31;0.11005196811601828091;57
"龙泉市人民医院";48419.67;11249.27;0.23232851442399338946;26
"上城区小营街道社区卫生服务中心";291351511.78;176338679.72;0.60524374369182482091;57757
"上虞市沥海镇老百姓大药房";207290.38;73224.38;0.35324543280783218208;836
"上虞眼科医院";324528.60;215033.12;0.66260144714518227361;212
"上虞眼科医院（绍兴上虞眼科医院、绍兴上虞眼视光医院）";;200.87;;1
"中国人民解放军第九七〇医院";19794.83;15823.00;0.79935013334289812037;1
"临安联谊医院";578071.29;399373.07;0.69087165702347888614;2787
"义亭镇石塔一村卫生室";7076.51;1702.93;0.24064545941431581387;96
"仙居南峰协和门诊部";3331077.73;0.00;0.000000000000000000000000;3832
"余杭区良渚医院*";3478.88;139.86;0.04020259393827898634;3
"北京普祥中医肿瘤医院";20902.89;2145.29;0.10263126294976436273;1
"双峰中心卫生院";151375.13;9776.55;0.06458491563310300708;260
"同济大学附属第十人民医院";821433.64;377178.47;0.45917095628077759270;83
"吴江第二人民医院";492.88;150.88;0.30611913650381431586;1
"嘉善魏塘盛华成诊所";916131.80;56935.64;0.06214786998988573478;1826
"奉贤区奉城医院";19788.44;8680.88;0.43868440362150831496;3
"宁波口腔医院";4182.00;107.10;0.02560975609756097561;1
"宁波市妇女儿童医院(异地)";204.30;0.00;0.00000000000000000000;2
"宁波李惠利医院";5088.80;0.00;0.00000000000000000000;2
"宁海县深圳镇大里卫生所";19574.77;8469.70;0.43268452196373188548;54
"平阳腾蛟中心卫生院";29166929.25;16499620.00;0.56569616426110403789;4485
"广东省第二中医院";62358.52;19320.26;0.30982550580097154326;2
"建德九德堂中医门诊部";118225.74;76525.53;0.64728315508957693984;403
"文荣医院";103630.56;51229.54;0.49434780628416945735;41
"新程村社区卫生服务站";968.59;400.23;0.41320889127494605561;6
"无锡市第九人民医院（滨湖区人民医院）";1935.32;847.20;0.43775706343137052270;2
"昆明市中医医院呈贡医院";3116.40;1663.00;0.53362854575792581183;1
"来宾市兴宾区人民医院";13310.43;4402.17;0.33073086293981486699;1
"杭州余杭嘉木护理院";737080.99;534611.64;0.72530922280331771954;103
"杭州国嘉中医门诊部";13782627.12;11450090.45;0.83076254986139391399;1796
