01-15,2020-01-15 23:59:59,+0,41,+0,0,+5,12,+1,2
01-16,2020-01-16 23:59:59,+4,45,+0,0,+3,15,+0,2
01-17,2020-01-17 23:59:59,+17,62,+0,0,+4,19,+0,2
01-18,2020-01-18 23:59:59,+59,121,+0,0,+5,24,+1,3
01-19,2020-01-19 23:59:59,+77,198,+0,0,+1,25,+0,3
01-20,2020-01-20 23:59:59,+77,275,+27,54,+0,25,+0,3
01-21,2020-01-21 23:59:59,+165,440,+26,37,+0,25,+6,9
01-22,2020-01-22 23:59:59,+131,571,+257,393,+3,28,+8,17
01-23,2020-01-23 23:59:59,+259,830,+680,1072,+6,34,+8,25
01-24,2020-01-24 23:59:59,+444,1287,+1118,1965,+4,38,+16,41
01-25,2020-01-25 23:59:59,+688,1975,+1309,2684,+11,49,+15,56
01-26,2020-01-26 23:59:59,+769,2744,+3806,5794,+2,51,+24,80
01-27,2020-01-27 23:59:59,+1771,4515,+2077,6973,+9,60,+26,106
01-28,2020-01-28 23:59:59,+1459,5974,+3248,9239,+43,103,+26,132
01-29,2020-01-29 23:59:59,+1737,7711,+4148,12167,+21,124,+38,170
01-30,2020-01-30 23:59:59,+1982,9692,+4812,15238,+47,171,+43,213
01-31,2020-01-31 23:59:59,+2102,11794,+5019,17988,+72,243,+46,259
02-01,2020-02-01 23:59:59,+2590,14380,+4562,19544,+85,328,+45,304
02-02,2020-02-02 23:59:59,+2829,17205,+5173,21558,+147,475,+57,361
02-03,2020-02-03 23:59:59,+3235,20438,+5072,23214,+157,632,+64,425
02-04,2020-02-04 23:59:59,+3887,24324,+3971,23260,+262,892,+65,490
02-05,2020-02-05 23:59:59,+3694,28018,+5328,24702,+261,1153,+73,563
02-06,2020-02-06 23:59:59,+3143,31161,+4833,26359,+387,1540,+73,636
02-07,2020-02-07 23:59:59,+3399,34546,+4214,27657,+510,2050,+86,722
02-08,2020-02-08 23:59:59,+2656,37198,+3916,28942,+600,2649,+89,811
02-09,2020-02-09 23:59:59,+3062,40171,+4008,23589,+632,3281,+97,908
02-10,2020-02-10 23:59:59,+2478,42638,+3536,21675,+716,3996,+108,1016
02-11,2020-02-11 23:59:59,+2015,44653,+3342,16067,+744,4740,+97,1113
02-12,2020-02-12 23:59:59,+15152,59804,+2807,13435,+1171,5911,+254,1367
02-13,2020-02-13 23:59:59,+5090,63851,+2450,10109,+1081,6992,+121,1480
