http://www.hzcdc.net/jbkz/jbkz01.htm
日期,区域,人数
02-03,余杭区,32
02-03,萧山区,19
02-03,桐庐县,16
02-03,西湖区,12
02-03,拱墅区,10
02-03,江干区,12
02-03,上城区,10
02-03,下城区,5
02-03,临安区,5
02-03,滨江区,4
02-03,富阳区,4
02-03,钱塘新区,2
02-03,建德市,1
02-04,余杭区,34
02-04,萧山区,20
02-04,桐庐县,17
02-04,西湖区,13
02-04,拱墅区,10
02-04,江干区,13
02-04,上城区,11
02-04,下城区,6
02-04,临安区,5
02-04,滨江区,4
02-04,富阳区,4
02-04,钱塘新区,2
02-04,建德市,2
02-09,余杭区,36
02-09,萧山区,18
02-09,桐庐县,20
02-09,西湖区,12
02-09,拱墅区,12
02-09,江干区,16
02-09,上城区,10
02-09,下城区,7
02-09,临安区,5
02-09,滨江区,4
02-09,富阳区,5
02-09,钱塘新区,7
02-09,建德市,3
02-12,余杭区,37
02-12,萧山区,18
02-12,桐庐县,21
02-12,西湖区,14
02-12,拱墅区,12
02-12,江干区,17
02-12,上城区,10
02-12,下城区,7
02-12,临安区,5
02-12,滨江区,5
02-12,富阳区,5
02-12,钱塘新区,8
02-12,建德市,3
02-13,余杭区,37
02-13,萧山区,18
02-13,桐庐县,22
02-13,西湖区,14
02-13,拱墅区,12
02-13,江干区,19
02-13,上城区,10
02-13,下城区,7
02-13,临安区,5
02-13,滨江区,5
02-13,富阳区,5
02-13,钱塘新区,8
02-13,建德市,3
02-15,余杭区,37
02-15,萧山区,18
02-15,桐庐县,22
02-15,西湖区,15
02-15,拱墅区,12
02-15,江干区,19
02-15,上城区,10
02-15,下城区,7
02-15,临安区,5
02-15,滨江区,5
02-15,富阳区,5
02-15,钱塘新区,8
02-15,建德市,3
02-16,余杭区,37
02-16,萧山区,18
02-16,桐庐县,24
02-16,西湖区,15
02-16,拱墅区,12
02-16,江干区,19
02-16,上城区,10
02-16,下城区,7
02-16,临安区,5
02-16,滨江区,5
02-16,富阳区,5
02-16,钱塘新区,8
02-16,建德市,3
02-18,余杭区,37
02-18,萧山区,18
02-18,桐庐县,24
02-18,西湖区,15
02-18,拱墅区,12
02-18,江干区,19
02-18,上城区,10
02-18,下城区,7
02-18,临安区,5
02-18,滨江区,5
02-18,富阳区,5
02-18,钱塘新区,8
02-18,建德市,3
02-19,余杭区,37
02-19,萧山区,18
02-19,桐庐县,24
02-19,西湖区,16
02-19,拱墅区,12
02-19,江干区,19
02-19,上城区,10
02-19,下城区,7
02-19,临安区,5
02-19,滨江区,5
02-19,富阳区,5
02-19,钱塘新区,8
02-19,建德市,3
02-21,余杭区,37
02-21,萧山区,18
02-21,桐庐县,24
02-21,西湖区,15
02-21,拱墅区,12
02-21,江干区,19
02-21,上城区,10
02-21,下城区,7
02-21,临安区,5
02-21,滨江区,5
02-21,富阳区,5
02-21,钱塘新区,8
02-21,建德市,3
02-22,余杭区,37
02-22,萧山区,18
02-22,桐庐县,24
02-22,西湖区,15
02-22,拱墅区,12
02-22,江干区,19
02-22,上城区,10
02-22,下城区,7
02-22,临安区,5
02-22,滨江区,5
02-22,富阳区,5
02-22,钱塘新区,8
02-22,建德市,3
02-23,余杭区,37
02-23,萧山区,18
02-23,桐庐县,24
02-23,西湖区,15
02-23,拱墅区,12
02-23,江干区,19
02-23,上城区,10
02-23,下城区,7
02-23,临安区,5
02-23,滨江区,5
02-23,富阳区,5
02-23,钱塘新区,8
02-23,建德市,3
02-24,余杭区,37
02-24,萧山区,18
02-24,桐庐县,24
02-24,西湖区,15
02-24,拱墅区,12
02-24,江干区,19
02-24,上城区,10
02-24,下城区,7
02-24,临安区,5
02-24,滨江区,5
02-24,富阳区,5
02-24,钱塘新区,8
02-24,建德市,3
02-25,余杭区,37
02-25,萧山区,18
02-25,桐庐县,24
02-25,西湖区,15
02-25,拱墅区,12
02-25,江干区,19
02-25,上城区,10
02-25,下城区,7
02-25,临安区,5
02-25,滨江区,5
02-25,富阳区,5
02-25,钱塘新区,8
02-25,建德市,3
02-27,余杭区,37
02-27,萧山区,18
02-27,桐庐县,24
02-27,西湖区,15
02-27,拱墅区,12
02-27,江干区,19
02-27,上城区,10
02-27,下城区,7
02-27,临安区,5
02-27,滨江区,5
02-27,富阳区,5
02-27,钱塘新区,8
02-27,建德市,3
03-02,余杭区,37
03-02,萧山区,18
03-02,桐庐县,24
03-02,西湖区,15
03-02,拱墅区,12
03-02,江干区,19
03-02,上城区,10
03-02,下城区,7
03-02,临安区,5
03-02,滨江区,5
03-02,富阳区,5
03-02,钱塘新区,8
03-02,建德市,3
